KBIS - 2009-01-15 12:00:00
pressure[mb],height[m],temperature[degC],dewpoint[degC],u-wind[m/s],v-wind[m/s]
959.0,649.0,-25.3,-28.8,nan,nan
949.0,726.0,-24.1,-27.6,nan,nan
936.0,826.0,-22.7,-28.7,nan,nan
925.0,915.0,-22.9,-28.9,-2.03,2.33
898.0,1131.0,-22.9,-28.9,nan,nan
851.0,1526.0,-21.3,-35.3,nan,nan
850.0,1536.0,-21.3,-35.3,-3.64,3.64
763.0,2328.0,-22.5,-40.5,nan,nan
730.0,2651.0,-24.1,-41.1,nan,nan
721.0,2741.0,-23.1,-41.1,nan,nan
707.0,2884.0,-22.9,-41.9,nan,nan
700.0,2961.0,-23.3,-43.3,-9.26,16.04
610.0,3960.0,-25.9,-43.9,nan,nan
510.0,5231.0,-34.3,-52.3,nan,nan
500.0,5370.0,-34.5,-52.5,-17.05,33.46
463.0,5906.0,-34.5,-52.5,nan,nan
423.0,6530.0,-38.5,-53.5,nan,nan
409.0,6761.0,-38.7,-53.7,nan,nan
400.0,6920.0,-39.9,-54.9,-23.44,52.64
300.0,8820.0,-54.7,-66.7,-24.09,59.62
255.0,9842.0,-58.1,-69.1,nan,nan
250.0,9970.0,-58.3,-69.3,-21.57,56.19
228.0,10548.0,-58.5,-69.5,nan,nan
214.0,10946.0,-57.7,-68.7,nan,nan
209.0,11095.0,-56.5,-68.5,nan,nan
200.0,11380.0,-56.7,-68.7,-19.08,47.22
192.0,11637.0,-57.7,-69.7,nan,nan
183.0,11939.0,-57.5,-69.5,nan,nan
175.0,12219.0,-59.1,-70.1,nan,nan
168.0,12474.0,-59.7,-70.7,nan,nan
163.0,12662.0,-59.9,-70.9,nan,nan
156.0,12936.0,-58.7,-69.7,nan,nan
150.0,13190.0,-58.9,-69.9,-19.46,48.18
141.0,13577.0,-59.5,-70.5,nan,nan
130.0,14084.0,-59.1,-70.1,nan,nan
111.0,15064.0,-62.5,-73.5,nan,nan
106.0,15348.0,-61.9,-72.9,nan,nan
104.0,15465.0,-62.7,-73.7,nan,nan
100.0,15710.0,-61.7,-72.7,-17.69,41.67
91.5,16259.0,-61.5,-72.5,nan,nan
78.4,17204.0,-66.1,-76.1,nan,nan
70.0,17900.0,-65.9,-75.9,-21.09,45.23
68.6,18022.0,-65.9,-75.9,nan,nan
57.6,19071.0,-69.3,-79.3,nan,nan
52.0,19680.0,-69.1,-79.1,nan,nan
50.0,19920.0,-68.1,-78.1,-25.22,49.50
47.2,20266.0,-66.5,-76.5,nan,nan
30.0,23000.0,-67.9,-77.9,-29.58,51.24
20.0,25420.0,-69.5,-79.5,-30.26,48.43
19.9,25450.0,-69.5,-79.5,nan,nan
