-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0   -111                                                               
  925.0    534                                                               
  850.0   1206                                                               
  700.0   2644                                                               
  679.0   2835  -61.1  -68.1     39   0.01     45     11  236.8  236.9  236.8
  677.0   2853  -60.3  -75.3     12   0.00     30     21  237.9  237.9  237.9
  671.0   2909  -58.3  -70.6     19   0.00     20     24  240.7  240.8  240.7
  666.0   2957  -56.7  -66.7     27   0.01     12     22  243.1  243.1  243.1
  661.0   3005  -52.3  -60.3     37   0.02      3     20  248.6  248.6  248.6
  656.0   3055  -43.7  -48.7     58   0.07    355     18  258.8  259.1  258.8
  651.0   3107  -42.3  -45.7     69   0.10    346     15  261.0  261.3  261.0
  642.0   3201  -40.7  -44.9     64   0.11    330     11  263.8  264.2  263.8
  639.0   3233  -40.7  -44.9     64   0.11    325     10  264.2  264.6  264.2
  625.0   3384  -40.6  -45.0     63   0.11    335     13  266.0  266.3  266.0
  610.0   3550  -40.5  -45.0     62   0.11    310     14  267.9  268.3  267.9
  606.0   3595  -40.5  -45.0     62   0.11    312     14  268.4  268.8  268.5
  593.0   3743  -41.0  -47.4     50   0.09    320     13  269.5  269.8  269.5
  582.0   3870  -41.5  -49.5     42   0.07    309     12  270.4  270.6  270.4
  578.0   3917  -41.8  -49.6     42   0.07    305     12  270.6  270.9  270.6
  553.0   4214  -43.4  -50.6     45   0.07    315     13  272.1  272.3  272.1
  536.0   4424  -44.6  -51.3     47   0.06    285     12  273.2  273.4  273.2
  509.0   4771  -46.5  -52.5     50   0.06    308      9  274.9  275.1  274.9
  507.0   4798  -46.5  -52.8     49   0.06    310      9  275.1  275.3  275.1
  500.0   4890  -46.7  -53.7     45   0.05    290     10  276.1  276.2  276.1
  483.0   5118  -48.1  -59.1     27   0.03    250      5  277.1  277.2  277.1
  477.0   5201  -47.9  -61.7     19   0.02    235      3  278.3  278.4  278.3
  466.0   5354  -47.5  -66.5      9   0.01    201      8  280.7  280.7  280.7
  453.0   5539  -48.4  -66.5     11   0.01    160     13  281.8  281.8  281.8
  422.0   6001  -50.8  -66.5     14   0.01    180     18  284.6  284.6  284.6
  407.0   6237  -51.9  -66.5     16   0.01    165     18  286.0  286.1  286.0
  400.0   6350  -52.5  -66.5     17   0.01    165     19  286.7  286.7  286.7
  357.0   7077  -57.0  -67.0     27   0.01    175     24  290.1  290.1  290.1
  337.0   7445  -59.3  -67.3     35   0.01    169     22  291.8  291.8  291.8
  308.0   8007  -62.3  -71.3     29   0.01    160     19  295.2  295.2  295.2
  300.0   8170  -62.7  -72.7     25   0.01    175     22  296.9  296.9  296.9
  297.0   8231  -63.0  -73.0     25   0.01    175     24  297.3  297.3  297.3
  278.0   8630  -65.0  -75.0     24   0.01    160     18  300.0  300.0  300.0
  263.0   8964  -66.7  -76.7     23   0.00    180     22  302.3  302.3  302.3
  250.0   9270  -68.3  -78.3     23   0.00    165     20  304.4  304.4  304.4
  242.0   9465  -69.2  -78.5     25   0.00    160     17  306.0  306.0  306.0
  237.0   9591  -69.7  -78.7     26   0.00    171     17  307.0  307.0  307.0
  229.0   9795  -70.2  -79.2     26   0.00    190     16  309.2  309.2  309.2
  224.0   9926  -70.6  -79.6     26   0.00    180     20  310.6  310.6  310.6
  213.0  10226  -71.3  -80.3     25   0.00    185     22  313.9  313.9  313.9
  203.0  10511  -72.1  -81.1     25   0.00    210     18  317.1  317.1  317.1
  200.0  10600  -72.3  -81.3     25   0.00    205     16  318.1  318.1  318.1
  189.0  10929  -74.0  -83.0     24   0.00    160     13  320.6  320.6  320.6
  181.0  11180  -75.3  -84.3     24   0.00    204      7  322.4  322.4  322.4
  179.0  11245  -75.0  -84.0     24   0.00    215      6  323.9  323.9  323.9
  177.0  11310  -74.7  -83.7     24   0.00    212      8  325.5  325.5  325.5
  167.0  11644  -75.8  -84.5     25   0.00    195     17  329.1  329.1  329.1
  160.0  11889  -76.7  -85.0     26   0.00    230     12  331.7  331.7  331.7
  152.0  12184  -77.6  -85.7     26   0.00    195     19  334.9  334.9  334.9
  150.0  12260  -77.9  -85.9     27   0.00    190     17  335.7  335.7  335.7
  149.0  12298  -78.0  -86.0     27   0.00    190     17  336.2  336.2  336.2
  144.0  12490  -78.5  -86.4     27   0.00    220     16  338.6  338.6  338.6
  136.0  12813  -79.4  -87.1     27   0.00    205      5  342.6  342.6  342.6
  133.0  12938  -79.8  -87.4     28   0.00    225      4  344.2  344.2  344.2
  128.0  13154  -80.3  -87.9     28   0.00    245     12  346.9  346.9  346.9
  119.0  13566  -81.5  -88.8     29   0.00    220     10  352.1  352.1  352.1
  116.0  13710  -81.9  -89.1     29   0.00    230     11  354.0  354.0  354.0
  114.0  13808  -82.1  -89.3     29   0.00    205     10  355.3  355.3  355.3
  111.0  13958  -82.5  -89.6     29   0.00    235     12  357.2  357.2  357.2
