-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1000.0      4                                                               
  998.0     22  -27.9  -32.8     63   0.24     20      9  245.4  246.1  245.4
  997.0     29  -25.3  -30.3     63   0.31     20      9  248.1  248.9  248.1
  986.0    109  -24.1  -31.1     52   0.29     24     14  250.1  250.9  250.1
  954.0    347  -25.3  -34.3     43   0.22     34     27  251.2  251.9  251.2
  934.0    500  -26.5  -34.9     45   0.21     40     35  251.5  252.1  251.5
  925.0    569  -27.1  -35.1     47   0.21     40     32  251.6  252.2  251.6
  873.0    983  -29.7  -36.3     53   0.20     30     17  253.1  253.7  253.1
  856.0   1124  -30.6  -36.8     55   0.19     35     13  253.6  254.2  253.6
  850.0   1174  -30.9  -36.9     56   0.19     45     12  253.8  254.3  253.8
  846.0   1207  -31.1  -37.1     56   0.19     52     12  253.9  254.5  253.9
  841.0   1250  -31.1  -37.3     54   0.19     60     11  254.4  254.9  254.4
  828.0   1360  -30.9  -37.7     51   0.18     40     13  255.7  256.2  255.7
  812.0   1499  -30.7  -38.3     48   0.17     50     11  257.3  257.8  257.3
  799.0   1614  -30.6  -38.7     45   0.17     30     11  258.6  259.1  258.6
  784.0   1748  -30.4  -39.3     42   0.16     55     15  260.2  260.7  260.2
  763.0   1941  -30.2  -40.0     38   0.15     20     13  262.5  262.9  262.5
  746.0   2101  -30.0  -40.7     35   0.15     40     12  264.4  264.9  264.4
  725.0   2304  -29.8  -41.5     31   0.14     35     10  266.8  267.3  266.8
  720.0   2353  -29.7  -41.7     30   0.14     23      9  267.4  267.9  267.4
  700.0   2554  -30.1  -43.1     27   0.12    335      4  269.1  269.5  269.1
  673.0   2832  -31.5  -47.0     20   0.08    350      3  270.6  270.9  270.6
  657.0   3003  -32.3  -49.3     17   0.07    326      5  271.6  271.8  271.6
  627.0   3331  -34.5  -45.1     33   0.11    280     10  272.7  273.1  272.7
  624.0   3364  -34.7  -44.7     35   0.11    281     10  272.9  273.2  272.9
  564.0   4061  -40.5  -46.5     52   0.10    294     11  274.0  274.4  274.0
  551.0   4219  -41.9  -47.9     52   0.09    297     11  274.2  274.5  274.2
  521.0   4595  -44.5  -52.6     40   0.06    305     11  275.4  275.6  275.5
  509.0   4751  -45.6  -54.5     36   0.05    290     15  276.0  276.1  276.0
  508.0   4765  -45.7  -54.7     35   0.04    290     15  276.0  276.2  276.0
  500.0   4870  -46.5  -53.5     45   0.05    290     14  276.3  276.5  276.3
  467.0   5319  -49.5  -55.5     49   0.04    277     14  278.0  278.2  278.0
  462.0   5389  -49.9  -56.4     46   0.04    275     14  278.4  278.6  278.4
  418.0   6038  -53.1  -65.1     22   0.01    288     11  282.3  282.4  282.3
  412.0   6131  -53.6  -65.0     24   0.01    290     11  282.8  282.9  282.8
  400.0   6320  -54.7  -64.7     28   0.02    285     10  283.8  283.9  283.8
  380.0   6645  -56.7  -66.7     27   0.01    270     10  285.3  285.4  285.3
  365.0   6900  -58.3  -68.3     27   0.01    280     11  286.5  286.6  286.5
  350.0   7166  -60.0  -70.0     26   0.01    260     12  287.7  287.8  287.7
  349.0   7184  -60.1  -70.1     26   0.01    262     12  287.8  287.8  287.8
  340.0   7345  -60.9  -70.9     26   0.01    285     10  288.9  289.0  288.9
  329.0   7549  -61.8  -71.8     25   0.01    250     10  290.3  290.4  290.4
  320.0   7721  -62.6  -72.6     25   0.01    265     10  291.5  291.6  291.5
  300.0   8120  -64.5  -74.5     24   0.01    250      9  294.3  294.3  294.3
  280.0   8537  -66.0  -76.5     22   0.00    245     10  298.1  298.1  298.1
  275.0   8646  -66.3  -77.0     21   0.00    260     11  299.1  299.1  299.1
  263.0   8916  -67.3  -78.3     20   0.00    256     10  301.5  301.5  301.5
  261.0   8962  -67.5  -78.5     20   0.00    255     10  301.9  301.9  301.9
  250.0   9220  -68.5  -79.5     19   0.00    265     12  304.1  304.1  304.1
  240.0   9463  -69.7  -79.7     22   0.00    274     12  305.9  305.9  305.9
  239.0   9488  -69.8  -79.8     22   0.00    275     12  306.1  306.2  306.1
  223.0   9897  -70.8  -81.2     20   0.00    265     10  310.7  310.8  310.7
  211.0  10224  -71.5  -82.3     19   0.00    280     10  314.5  314.5  314.5
  203.0  10452  -72.1  -83.1     18   0.00    258     15  317.1  317.1  317.1
  202.0  10482  -72.0  -83.0     18   0.00    255     16  317.7  317.7  317.7
  200.0  10540  -71.7  -82.7     18   0.00    255     15  319.1  319.1  319.1
  195.0  10688  -72.0  -83.0     18   0.00    270     14  320.9  320.9  320.9
  189.0  10870  -72.4  -83.4     18   0.00    260     13  323.1  323.1  323.1
  184.0  11027  -72.7  -83.7     18   0.00    275     16  325.1  325.1  325.1
  178.0  11221  -73.2  -84.2     17   0.00    255     19  327.5  327.5  327.5
  168.0  11558  -73.9  -84.9     17   0.00    245     10  331.7  331.7  331.7
  165.0  11663  -74.1  -85.1     17   0.00    255      7  333.1  333.1  333.1
  162.0  11771  -74.3  -85.3     17   0.00    285     10  334.4  334.4  334.4
  153.0  12104  -75.0  -86.0     17   0.00    235     12  338.7  338.7  338.7
  150.0  12220  -75.3  -86.3     17   0.00    245     11  340.2  340.2  340.2
  147.0  12336  -75.7  -86.6     17   0.00    260     14  341.5  341.5  341.5
  133.0  12913  -77.7  -87.9     18   0.00    245     19  347.8  347.9  347.8
  129.0  13089  -78.3  -88.3     19   0.00    249     20  349.8  349.8  349.8
  109.0  14049  -79.2  -89.9     16   0.00    270     28  365.3  365.3  365.3
  100.0  14540  -79.7  -90.7     15   0.00    265     32  373.5  373.5  373.5
   95.0  14830  -79.9  -90.9     15   0.00    250     37  378.6  378.6  378.6
   94.7  14848  -79.9  -90.9     15   0.00                379.0  379.0  379.0
